is_res,normalize,act,n_layers,hidden_nodes,lr,weight_decay,gamma,batch_size,MSE
"
","
", ,D,a,t,a,c,a,s,e,:, ,l,e,f,t,_,r,i,g,h,t,_,b,o,t,h,_,e,n,d,s
False,True,relu,4,624,0.001328455028262596,6.413506708816401e-07,0.004416020393568041,32,0.00010223010810737783
False,False,lrelu,2,572,0.0020460902720154726,1.0441190158790884e-06,0.007464733995014878,64,0.00010433836595598558
False,True,tanh,2,605,0.0015567971187772037,7.295905548202826e-07,0.0048120144112539205,32,9.542889237966419e-05
False,True,tanh,2,745,0.0008603043554948035,5.077279143901251e-07,0.006896514375093692,32,9.61586435669602e-05
False,True,tanh,2,712,0.0012441292257103199,7.759858946720195e-07,0.005676856970381194,32,9.214182451442646e-05
False,True,tanh,2,732,0.0014317282697411,8.419534583344343e-07,0.005381435751715988,32,9.454760220863833e-05
False,True,tanh,2,714,0.0006555926395548522,1.5419572134536301e-06,0.0057359714497199595,32,9.718119002414479e-05
False,True,tanh,2,637,0.0017369667746055246,1.1641360631731632e-06,0.006309099046274227,32,9.469837011204163e-05
True,True,tanh,2,688,0.0010186780115968698,3.326517724775901e-06,0.0050328649349939,32,0.00012610258906075393
False,True,tanh,2,659,0.0012812199173326277,6.104162455186448e-07,0.005838972668087081,32,9.246943862008352e-05
False,True,swish,0,659,0.0013297177297010945,4.1700914006660655e-07,0.005594943391401827,32,0.0038607918047228696
True,True,tanh,2,537,0.0023990572820682962,5.43797824429299e-07,0.004187847393063835,32,9.950440258716043e-05
False,True,tanh,2,676,0.0012159687438864609,7.640699327946016e-07,0.006553384690096339,32,9.412026617291136e-05
False,True,tanh,2,605,0.0009357100914115899,1.0261586978087841e-06,0.005766365520782608,32,9.350366154618266e-05
False,True,tanh,2,587,0.0008292873157385785,6.858774205721721e-07,0.0058154889204543,32,9.448072068845946e-05
False,True,tanh,2,627,0.0007171656850492229,6.040762205425541e-07,0.005453841679953118,32,9.237731887096174e-05
False,True,tanh,2,613,0.0018395520416348496,5.849446879369657e-07,0.005567505125766166,32,9.366351557745784e-05
False,True,lrelu,2,552,0.001636151798690622,4.936867554716006e-07,0.0051866494310079765,32,9.869626581895205e-05
False,False,tanh,2,600,0.0005120354818633314,3.394118904859925e-07,0.005362017867043917,32,9.624613562925048e-05
True,True,sigmoid,2,85,0.0009377578209942478,8.880365760643489e-07,0.005771950035531205,128,0.005600088426179301
False,True,tanh,4,952,0.0011538744984931615,6.117322637395174e-07,0.0062186753701369965,32,0.00011422524128929189
False,True,swish,2,528,0.001468681139912598,4.285133758853371e-07,0.00601488163764406,32,9.964328081956417e-05
False,True,tanh,2,617,0.0019229869414168232,5.974049088488101e-07,0.005477004810943504,32,9.922160252194675e-05
False,True,tanh,3,632,0.0018428516614046025,7.641784400341579e-07,0.004676061491244213,32,0.00010919402430353252
False,True,tanh,2,576,0.003429543246381277,2.6379174158777736e-07,0.0049837805262911376,32,0.00011299274016519046
False,True,tanh,2,659,0.002171815090033378,5.354116794756895e-07,0.005584852958189933,32,9.763309607646988e-05
False,True,tanh,2,616,0.0012861849677518276,1.2869417497071694e-06,0.005271355258125948,32,9.885919522586871e-05
True,True,tanh,2,597,0.0025554460637559027,6.382963558632757e-07,0.005806167664543507,32,9.787797811271102e-05
False,True,lrelu,1,560,0.0016284869029384815,9.32162420344975e-07,0.0070385479381246275,32,0.00011086329757904504
False,True,tanh,2,326,0.0010953407236541288,3.881257931381771e-07,0.004630055797087852,32,9.790450525381133e-05
False,True,tanh,3,464,0.000692046587564257,8.204726590419341e-07,0.006335240803147668,64,9.483705459234466e-05
True,False,relu,2,495,0.00141309582832569,3.0449176460003834e-07,0.006745052491427309,32,9.840247152119901e-05
False,True,tanh,2,642,0.0007435648493686317,1.0458185834522766e-06,0.007754279990439473,32,9.710261802602499e-05
False,True,tanh,2,647,0.0009077568988513675,1.2395648382792995e-06,0.005511020171746053,32,9.436815861346516e-05
False,True,tanh,2,679,0.0006103448819654037,4.712271794494294e-07,0.007295265878438461,32,9.727150515982895e-05
False,True,tanh,2,622,0.0008061365463571499,7.616422912674521e-07,0.005973788846527309,32,9.17082093811736e-05
False,True,tanh,2,619,0.001036740771873971,6.532043568628478e-07,0.005991510844018075,32,9.651895006617658e-05
False,True,swish,2,707,0.00124987514404073,7.620701913834449e-07,0.006191938376381613,32,0.0001280695347426958
False,True,tanh,2,585,0.0017735167487056345,5.558832208443693e-07,0.005875646264364073,32,0.00010014212196638817
True,True,lrelu,4,669,0.000892048830693464,9.457248211953729e-07,0.006430728068109915,32,0.00010080515049395136
False,True,tanh,2,373,0.002101348491055848,7.183059845533294e-07,0.0060486928209977295,32,9.3659086189452e-05
False,True,tanh,2,376,0.002125035712474905,7.828756090939219e-07,0.0066114754959494,32,9.830239638633338e-05
False,True,tanh,2,355,0.0015216341595830254,6.587207091257572e-07,0.005711346699153912,32,9.163226349426308e-05
False,True,tanh,2,355,0.0015378301401148824,7.40033106488122e-07,0.006104405440856308,32,9.59537326095491e-05
False,True,tanh,2,297,0.0029247436861098916,9.410870420843276e-07,0.005804425041085307,32,9.292597412245185e-05
False,True,tanh,2,305,0.001130072332880034,1.057716131845094e-06,0.005703168528605822,32,9.367770248319544e-05
False,True,tanh,2,289,0.003602475408921567,1.4111703738826627e-06,0.005810608982365796,32,9.313380751740813e-05
